"stock_code","description","gross_sales_value","units_sold"
"48194","DOORMAT HEARTS",22114.42,3416
"20712","JUMBO BAG WOODLAND ANIMALS",22092.42,9773
"84029E","RED WOOLLY HOTTIE WHITE HEART.",22025.73,4734
"23202","JUMBO BAG VINTAGE LEAF",21810.43,10941
"20724","RED RETROSPOT CHARLOTTE BAG",21773.39,17761
"20728","LUNCH BAG CARS BLUE",21699.48,11786
"22630","DOLLY GIRL LUNCH BOX",21609.79,11780
"21523","DOORMAT FANCY FONT HOME SWEET HOME",21593.74,3245
"21843","RED RETROSPOT CAKE STAND",21354.3,2012
"21212","PACK OF 72 RETROSPOT CAKE CASES",21246.45,36396
"21166","COOK WITH WINE METAL SIGN",20874.44,10324
"23206","LUNCH BAG APPLE DESIGN",20852.58,12147
"22659","LUNCH BOX I LOVE LONDON",20781.65,11504
"22728","ALARM CLOCK BAKELIKE PINK",20672.15,5356
"21479","WHITE SKULL HOT WATER BOTTLE",20582.2,3915
"82494L","WOODEN FRAME ANTIQUE WHITE",19599.49,6735
"84946","ANTIQUE SILVER T-LIGHT GLASS",19381.62,14664
"22501","PICNIC BASKET WICKER LARGE",19302.26,1602
"22328","ROUND SNACK BOXES SET OF 4 FRUITS",19094.97,6835
"22467","GUMBALL COAT RACK",18798.67,7926
"22969","HOMEMADE JAM SCENTED CANDLES",18771.15,12520
"22383","LUNCH BAG SUKI DESIGN",18699.43,10301
"15036","ASSORTED COLOURS SILK FAN",18569.84,23826
"20726","LUNCH BAG WOODLAND",18283.78,9909
"21108","FAIRY CAKE FLANNEL ASSORTED COLOUR",18056.28,10241
"22382","LUNCH BAG SPACEBOY DESIGN",18031.31,10427
"22693","GROW A FLYTRAP OR SUNFLOWER IN TIN",17927.45,16244
"22835","HOT WATER BOTTLE I AM SO POORLY",17892.96,3441
"22865","HAND WARMER OWL DESIGN",17786.13,8439
"21485","RETROSPOT HEART HOT WATER BOTTLE",17663.98,3524
"20914","SET/5 RED RETROSPOT LID GLASS BOWLS",17623.35,6073
"22698","PINK REGENCY TEACUP AND SAUCER",17445.56,5788
"22384","LUNCH BAG PINK POLKADOT",17388.99,10487
"23203","JUMBO BAG DOILEY PATTERNS",17268.69,8893
"21928","JUMBO BAG SCANDINAVIAN BLUE PAISLEY",17239.69,8411
"22077","6 RIBBONS RUSTIC CHARM",17186.62,9172
"22385","JUMBO BAG SPACEBOY DESIGN",17071.59,8666
"71477","COLOUR GLASS. STAR T-LIGHT HOLDER",17069.7,5736
"22197","SMALL POPCORN HOLDER",17045.8,20149
"82583","HOT BATHS METAL SIGN",16946.26,7258
"22492","MINI PAINT SET VINTAGE",16937.82,26633
"21754","HOME BUILDING BLOCK WORD",16923.47,2759
"20719","WOODLAND CHARLOTTE BAG",16744.45,13290
"22993","SET OF 4 PANTRY JELLY MOULDS",16478.48,12649
"84978","HANGING HEART JAR T-LIGHT HOLDER",16453.78,12493
"22624","IVORY KITCHEN SCALES",16378.71,1883
"84078A","SET/4 WHITE RETRO STORAGE CUBES",16363.3,415
"23301","GARDENERS KNEELING PAD KEEP CALM",16327.35,8807
"84029G","KNITTED UNION FLAG HOT WATER BOTTLE",16148.04,3319
"85152","HAND OVER THE CHOCOLATE   SIGN",15928.73,8246
"15056BL","EDWARDIAN PARASOL BLACK",15828.84,2844
"23313","VINTAGE CHRISTMAS BUNTING",15798.66,2990
"22379","RECYCLING BAG RETROSPOT",15607.59,6896
"82483","WOOD 2 DRAWER CABINET WHITE FINISH",15123.92,2386
"22084","PAPER CHAIN KIT EMPIRE",15099.37,5181
"22900","SET 2 TEA TOWELS I LOVE LONDON",14938.43,4907
"84997D","CHILDRENS CUTLERY POLKADOT PINK",14493.64,3666
"22752","SET 7 BABUSHKA NESTING BOXES",14427.97,1787
"22866","HAND WARMER SCOTTY DOG DESIGN",14366.52,6611
"22847","BREAD BIN DINER STYLE IVORY",14329.54,901
"48184","DOORMAT ENGLISH ROSE",14300.15,2035
"22507","MEMO BOARD RETROSPOT  DESIGN",14193.35,2960
"23200","JUMBO BAG PEARS",14188.96,7067
"21232","STRAWBERRY CERAMIC TRINKET BOX",14117.58,10473
"22625","RED KITCHEN SCALES",14082.2,1620
"22867","HAND WARMER BIRD DESIGN",14061.89,6433
"22083","PAPER CHAIN KIT RETROSPOT",14051.64,4616
"21930","JUMBO STORAGE BAG SKULLS",14006.2,6438
"23343","JUMBO BAG VINTAGE CHRISTMAS",13972.71,6078
"22622","BOX OF VINTAGE ALPHABET BLOCKS",13931.31,1342
"20971","PINK BLUE FELT CRAFT TRINKET BOX",13828.1,10993
"84077","WORLD WAR 2 GLIDERS ASSTD DESIGNS",13814.01,54951
"22941","CHRISTMAS LIGHTS 10 REINDEER",13795.92,1670
"AMAZONFEE","AMAZON FEE",13761.09,2
"23077","DOUGHNUT LIP GLOSS",13695.77,10395
"22171","3 HOOK PHOTO SHELF ANTIQUE WHITE",13611.81,1794
"22551","PLASTERS IN TIN SPACEBOY",13602.11,8074
"21524","DOORMAT SPOTTY HOME SWEET HOME",13572.06,1752
"23356","LOVE HOT WATER BOTTLE",13334.32,2359
"22554","PLASTERS IN TIN WOODLAND ANIMALS",13328.27,7803
"22558","CLOTHES PEGS RETROSPOT PACK 24",13325.87,8676
"23207","LUNCH BAG ALPHABET DESIGN",13325.55,7830
"23108","SET OF 10 LED DOLLY LIGHTS",13290.52,2219
"23328","SET 6 SCHOOL MILK BOTTLES IN CRATE",13269.49,2841
"22499","WOODEN UNION JACK BUNTING",12792.25,2091
"22113","GREY HEART HOT WATER BOTTLE",12763.08,3220
"22427","ENAMEL FLOWER JUG CREAM",12647.26,2106
"20750","RED RETROSPOT MINI CASES",12634.98,1747
"20749","ASSORTED COLOUR MINI CASES",12550.57,1762
"20723","STRAWBERRY CHARLOTTE BAG",12548.15,9793
"22607","WOODEN ROUNDERS GARDEN SET",12531.57,1327
"21790","VINTAGE SNAP CARDS",12510.01,14521
"22188","BLACK HEART CARD HOLDER",12483.22,4870
"21755","LOVE BUILDING BLOCK WORD",12435.86,2011
"22568","FELTCRAFT CUSHION OWL",12413.89,3373
"22424","ENAMEL BREAD BIN CREAM",12358.33,873
"22149","FELTCRAFT 6 FLOWER FRIENDS",12357.08,6070
"23174","REGENCY SUGAR BOWL GREEN",12342.43,3055
"21977","PACK OF 60 PINK PAISLEY CAKE CASES",12226.32,24820
"48188","DOORMAT WELCOME PUPPIES",12107.02,2064
"47590B","PINK HAPPY BIRTHDAY BUNTING",12050.12,2323
"22273","FELTCRAFT DOLL MOLLY",12001.59,4509
"22191","IVORY DINER WALL CLOCK",11911.65,1445
"21430","SET/3 RED GINGHAM ROSE STORAGE BOX",11905.95,3034
"82486","WOOD S/3 CABINET ANT WHITE FINISH",11885.98,1402
"22087","PAPER BUNTING WHITE LACE",11872.58,4082
"22193","RED DINER WALL CLOCK",11857.07,1400
"22158","3 HEARTS HANGING DECORATION RUSTIC",11797.38,3413
"22502","PICNIC BASKET WICKER SMALL",11789.27,1876
"23300","GARDENERS KNEELING PAD CUP OF TEA",11785.99,6809
"21936","RED RETROSPOT PICNIC BAG",11665.19,3985
"23581","JUMBO BAG PAISLEY PARK",11581.83,5020
"22692","DOORMAT WELCOME TO OUR HOME",11539.06,1522
"21217","RED RETROSPOT ROUND CAKE TINS",11522.44,1088
"22730","ALARM CLOCK BAKELIKE IVORY",11453.4,2885
"21481","FAWN BLUE HOT WATER BOTTLE",11443.87,3307
"22356","CHARLOTTE BAG PINK POLKADOT",11417.74,9716
"21216","SET 3 RETROSPOT TEA,COFFEE,SUGAR",11382.81,2128
"22041","RECORD FRAME 7"" SINGLE SIZE",11354.56,4374
"21080","SET/20 RED RETROSPOT PAPER NAPKINS",11312.56,13202
"21340","CLASSIC METAL BIRDCAGE PLANT HOLDER",11300.02,975
"22605","WOODEN CROQUET GARDEN SET",11276.21,782
"47566B","TEA TIME PARTY BUNTING",11275.27,2379
"22570","FELTCRAFT CUSHION RABBIT",11204.97,3086
"23170","REGENCY TEA PLATE ROSES",11097.25,6857
"22413","METAL SIGN TAKE IT OR LEAVE IT",11095.94,3774
"B","Adjust bad debt",11062.06,1
"22662","LUNCH BAG DOLLY GIRL DESIGN",11060.88,6706
"20711","JUMBO BAG TOYS",11014.62,5007
"85014B","RED RETROSPOT UMBRELLA",10952.2,1910
"85048","15CM CHRISTMAS GLASS BALL 20 LIGHTS",10910.61,1359
"22988","SOLDIERS EGG CUP",10858.31,9073
"23209","LUNCH BAG VINTAGE DOILY",10797,6548
"22617","BAKING SET SPACEBOY DESIGN",10745.05,2209
"22846","BREAD BIN DINER STYLE RED",10676.62,665
"22734","SET OF 6 RIBBONS VINTAGE CHRISTMAS",10610.04,3261
"21891","TRADITIONAL WOODEN SKIPPING ROPE",10504.85,8130
"21791","VINTAGE HEADS AND TAILS CARD GAME",10504.4,7864
"23209","LUNCH BAG DOILEY PATTERN",10502.19,6551
"47590A","BLUE HAPPY BIRTHDAY BUNTING",10491.75,1990
"84755","COLOUR GLASS T-LIGHT HOLDER HANGING",10487.05,16401
"23208","LUNCH BAG VINTAGE LEAF DESIGN",10441.91,6308
"22992","REVOLVER WOODEN RULER",10373.99,5233
"22169","FAMILY ALBUM WHITE PICTURE FRAME",10345.76,1197
"21914","BLUE HARMONICA IN BOX",10339.81,7876
"84997B","CHILDRENS CUTLERY RETROSPOT RED",10316.86,2634
"84947","ANTIQUE SILVER TEA GLASS ENGRAVED",10229.77,8652
"23582","VINTAGE DOILY JUMBO BAG RED",10206.41,4802
"82600","NO SINGING METAL SIGN",10193.76,4788
"84997C","CHILDRENS CUTLERY POLKADOT BLUE",10150.76,2582
"22970","LONDON BUS COFFEE MUG",10140.6,4334
"21218","RED SPOTTY BISCUIT TIN",10116.49,2433
"22569","FELTCRAFT CUSHION BUTTERFLY",10110.83,2759
"22556","PLASTERS IN TIN CIRCUS PARADE",10061.86,6113
"22621","TRADITIONAL KNITTING NANCY",10053.65,6148
"23171","REGENCY TEA PLATE GREEN",10051.99,6247
"22633","HAND WARMER UNION JACK",10023.72,4851
"20679","EDWARDIAN PARASOL RED",10021.42,1710
"48173C","DOORMAT BLACK FLOCK",10000.66,1799
"22690","DOORMAT HOME SWEET HOME BLUE",9943.7,1619
"23076","ICE CREAM SUNDAE LIP GLOSS",9935.76,8076
"22619","SET OF 6 SOLDIER SKITTLES",9895.04,2480
"22654","DELUXE SEWING KIT",9893,1411
"22791","T-LIGHT GLASS FLUTED ANTIQUE",9873.88,7955
"22555","PLASTERS IN TIN STRONGMAN",9841.83,6010
"21314","SMALL GLASS HEART TRINKET POT",9798.98,4246
"22838","3 TIER CAKE TIN RED AND CREAM",9765.11,689
"22766","PHOTO FRAME CORNICE",9755.09,3267
"22561","WOODEN SCHOOL COLOURING SET",9741.57,5883
"21559","STRAWBERRY LUNCH BOX WITH CUTLERY",9735.38,3933
"23240","SET OF 4 KNICK KNACK TINS DOILY",9726.48,2352
"22776","SWEETHEART CAKESTAND 3 TIER",9687.3,958
"22144","CHRISTMAS CRAFT LITTLE FRIENDS",9662.28,4073
"22844","VINTAGE CREAM DOG FOOD CONTAINER",9661.32,1003
"23175","REGENCY MILK JUG PINK",9587.15,3160
"22560","TRADITIONAL MODELLING CLAY",9572.32,8144
"22978","PANTRY ROLLING PIN",9564.98,2464
"22456","NATURAL SLATE CHALKBOARD LARGE",9534.67,1727
"35970","ZINC FOLKART SLEIGH BELLS",9512.73,5050
"22952","60 CAKE CASES VINTAGE CHRISTMAS",9498.87,16032
"21174","POTTERING IN THE SHED METAL SIGN",9405.76,4175
"85150","LADIES & GENTLEMEN METAL SIGN",9383.43,4037
"84375","SET OF 20 KIDS COOKIE CUTTERS",9383.15,4311
"21155","RED RETROSPOT PEG BAG",9296.3,3155
"23319","BOX OF 6 MINI 50'S CRACKERS",9219.53,3720
"22749","FELTCRAFT PRINCESS CHARLOTTE DOLL",9216.16,2362
"22966","GINGERBREAD MAN COOKIE CUTTER",9202.15,7440
"84991","60 TEATIME FAIRY CAKE CASES",9169.97,18189
"23318","BOX OF 6 MINI VINTAGE CRACKERS",9162.41,3809
"20972","PINK CREAM FELT CRAFT TRINKET BOX",9128.06,7337
"23080","RED METAL BOX TOP SECRET",9117.62,1074
"48116","DOORMAT MULTICOLOUR STRIPE",9080.68,1491
"22729","ALARM CLOCK BAKELIKE ORANGE",9068.95,2323
"22759","SET OF 3 NOTEBOOKS IN PARCEL",9027.44,5435
"22989","SET 2 PANTRY DESIGN TEA TOWELS",8999.27,2811
"22771","CLEAR DRAWER KNOB ACRYLIC EDWARDIAN",8930.44,6539
"23322","LARGE WHITE HEART OF WICKER",8878.21,3069
"82582","AREA PATROLLED METAL SIGN",8858.79,4365
"23439","HAND WARMER RED LOVE HEART",8855.51,3986
"21889","WOODEN BOX OF DOMINOES",8847.29,6390
"22632","HAND WARMER RED RETROSPOT",8757.83,4348
"84945","MULTI COLOUR SILVER T-LIGHT HOLDER",8744.43,10545
"22947","WOODEN ADVENT CALENDAR RED",8714.24,746
"22147","FELTCRAFT BUTTERFLY HEARTS",8621.14,6226
"22652","TRAVEL SEWING KIT",8612.07,5091
"22795","SWEETHEART RECIPE BOOK STAND",8571.25,1211
"71459","HANGING JAM JAR T-LIGHT HOLDER",8560.84,10792
"23082","SET 6 PAPER TABLE LANTERN HEARTS",8558.76,2328
"23078","ICE CREAM PEN LIP GLOSS",8553.34,6831
"21035","SET/2 RED RETROSPOT TEA TOWELS",8536.85,2599
"84378","SET OF 3 HEART COOKIE CUTTERS",8518.4,6332
"23256","CHILDRENS CUTLERY SPACEBOY",8517.67,2077
"23493","VINTAGE DOILY TRAVEL SEWING KIT",8497.98,3964
"21484","CHICK GREY HOT WATER BOTTLE",8495.42,1871
"23321","SMALL WHITE HEART OF WICKER",8438.54,4716
"21213","PACK OF 72 SKULL CAKE CASES",8414.59,15169
"21210","SET OF 72 RETROSPOT PAPER  DOILIES",8368.39,5808
"22768","FAMILY PHOTO FRAME CORNICE",8258.59,867
"72741","GRAND CHOCOLATECANDLE",8196,5958
"22192","BLUE DINER WALL CLOCK",8189.29,954
"22725","ALARM CLOCK BAKELIKE CHOCOLATE",8153.6,1980
"84380","SET OF 3 BUTTERFLY COOKIE CUTTERS",8153.56,5799
"22655","VINTAGE RED KITCHEN CABINET",8125,60
"22667","RECIPE BOX RETROSPOT",8045.1,2882
"22909","SET OF 20 VINTAGE CHRISTMAS NAPKINS",8041.18,8976
"71053","WHITE METAL LANTERN",8037.77,1875
"21121","SET/10 RED POLKADOT PARTY CANDLES",7998.85,6606
"22616","PACK OF 12 LONDON TISSUES",7975.98,26119
"21770","OPEN CLOSED METAL SIGN",7923.93,1638
"22487","WHITE WOOD GARDEN PLANT LADDER",7909.28,784
"22940","FELTCRAFT CHRISTMAS FAIRY",7890.25,1915
"22352","LUNCH BOX WITH CUTLERY RETROSPOT",7860.97,3088
"22968","ROSE COTTAGE KEEPSAKE BOX",7851.98,794
"21136","PAINTED METAL PEARS ASSORTED",7793.14,4687
"23238","SET OF 4 KNICK KNACK TINS LONDON",7771.61,1849
"22173","METAL 4 HOOK HANGER FRENCH CHATEAU",7767.8,2444
"22557","PLASTERS IN TIN VINTAGE PAISLEY",7762.24,4712
"21908","CHOCOLATE THIS WAY METAL SIGN",7752.22,3771
"23204","CHARLOTTE BAG APPLES DESIGN",7741.94,7976
"23007","SPACEBOY BABY GIFT SET",7741.75,498
"48111","DOORMAT 3 SMILEY CATS",7708.48,1172
"21258","VICTORIAN SEWING BOX LARGE",7674.8,532
"84406B","CREAM CUPID HEARTS COAT HANGER",7653.17,2015
"84970S","HANGING HEART ZINC T-LIGHT HOLDER",7650.31,8879
"84949","SILVER HANGING T-LIGHT HOLDER",7622.64,4789
"21231","SWEETHEART CERAMIC TRINKET BOX",7617.28,6054
"22991","GIRAFFE WOODEN RULER",7604.89,3887
"21955","DOORMAT UNION JACK GUNS AND ROSES",7580.82,1228
"22585","PACK OF 6 BIRDY GIFT TAGS",7547.89,6221
"22627","MINT KITCHEN SCALES",7521.89,852
"22367","CHILDRENS APRON SPACEBOY DESIGN",7508.58,3749
"22750","FELTCRAFT PRINCESS LOLA DOLL",7491.83,2001
"21668","RED STRIPE CERAMIC DRAWER KNOB",7481.16,5494
"22381","TOY TIDY PINK POLKADOT",7433.74,3439
"84836","ZINC METAL HEART DECORATION",7418.07,5937
"22741","FUNKY DIVA PEN",7363.86,8547
"23382","BOX OF 6 CHRISTMAS CAKE DECORATIONS",7356.18,1875
"21169","YOU'RE CONFUSING ME METAL SIGN",7301.77,4413
"23083","SET 6 PAPER TABLE LANTERN STARS",7250.9,1932
"23240","SET OF 4 KNICK KNACK TINS DOILEY",7248.79,1819
"20969","RED FLORAL FELTCRAFT SHOULDER BAG",7229.43,1960
"22631","CIRCUS PARADE LUNCH BOX",7199.57,3677
"22485","SET OF 2 WOODEN MARKET CRATES",7190.35,526
"22767","TRIPLE PHOTO FRAME CORNICE",7173.55,774
"22634","CHILDS BREAKFAST SET SPACEBOY",7161.3,763
"21787","RAIN PONCHO RETROSPOT",7161.1,8875
"22553","PLASTERS IN TIN SKULLS",7132.12,4242
"22637","PIGGY BANK RETROSPOT",7111.18,2760
"22834","HAND WARMER BABUSHKA DESIGN",7105.33,4941
"21669","BLUE STRIPE CERAMIC DRAWER KNOB",7091.15,5252
"22505","MEMO BOARD COTTAGE DESIGN",7084.42,1457
"21259","VICTORIAN SEWING BOX SMALL",7077.2,1179
"22950","36 DOILIES VINTAGE CHRISTMAS",7060.28,5171
"23320","GIANT 50'S CHRISTMAS CRACKER",7053.57,2661
"22663","JUMBO BAG DOLLY GIRL DESIGN",7051.2,3419
"C2","CARRIAGE",7051,142
"21912","VINTAGE SNAKES & LADDERS",7047.7,1786
"22333","RETROSPOT PARTY BAG + STICKER SET",7043.94,4492
"23215","JINGLE BELL HEART ANTIQUE SILVER",7038.4,3564
"22946","WOODEN ADVENT CALENDAR CREAM",7030.22,453
"23293","SET OF 12 FAIRY CAKE BAKING CASES",6989.54,8471
"22839","3 TIER CAKE TIN GREEN AND CREAM",6981.67,445
"22170","PICTURE FRAME WOOD TRIPLE PORTRAIT",6977.6,1068
"21922","UNION STRIPE WITH FRINGE  HAMMOCK",6944.36,898
"21165","BEWARE OF THE CAT METAL SIGN",6935.7,4154
"21094","SET/6 RED SPOTTY PAPER PLATES",6933.26,8758
"21877","HOME SWEET HOME MUG",6932.78,5411
"22109","FULL ENGLISH BREAKFAST PLATE",6921.15,1640
"22840","ROUND CAKE TIN VINTAGE RED",6903.79,913
"21257","VICTORIAN SEWING BOX MEDIUM",6901.42,688
"84997A","CHILDRENS CUTLERY POLKADOT GREEN",6864.42,1728
"21326","AGED GLASS SILVER T-LIGHT HOLDER",6859.27,10535
"22580","ADVENT CALENDAR GINGHAM SACK",6848.19,1311
"75049L","LARGE CIRCULAR MIRROR MOBILE",6812.98,7102
"22294","HEART FILIGREE DOVE  SMALL",6805.08,5457
"23297","SET 40 HEART SHAPE PETIT FOUR CASES",6792.23,4303
"22620","4 TRADITIONAL SPINNING TOPS",6782.21,4889
"21672","WHITE SPOT RED CERAMIC DRAWER KNOB",6776,4992
"23541","WALL ART CLASSIC PUDDINGS",6762.71,864
"22943","CHRISTMAS LIGHTS 10 VINTAGE BAUBLES",6755.47,1355
"23254","CHILDRENS CUTLERY DOLLY GIRL",6753.71,1667
"23008","DOLLY GIRL BABY GIFT SET",6719.61,433
"23480","MINI LIGHTS WOODLAND MUSHROOMS",6719.14,1798
"23247","BISCUIT TIN 50'S CHRISTMAS",6681.25,2194
"21871","SAVE THE PLANET MUG",6679.56,5453
"85014A","BLACK/BLUE POLKADOT UMBRELLA",6678.72,1163
"22668","PINK BABY BUNTING",6677.97,2179
"84988","SET OF 72 PINK HEART PAPER DOILIES",6671.25,4311
"21888","BINGO SET",6659.54,1688
"21533","RETROSPOT LARGE MILK JUG",6651.72,1351
"20718","RED RETROSPOT SHOPPER BAG",6604.29,4769
"23229","VINTAGE DONKEY TAIL GAME",6550.17,1815
"84992","72 SWEETHEART FAIRY CAKE CASES",6532.78,13319
"22508","DOORSTOP RETROSPOT HEART",6525.88,1594
"21122","SET/10 PINK POLKADOT PARTY CANDLES",6488.54,5325
"23311","VINTAGE CHRISTMAS STOCKING",6488.2,2390
"22141","CHRISTMAS CRAFT TREE TOP ANGEL",6463.79,2791
"84946","ANTIQUE SILVER TEA GLASS ETCHED",6461.76,4545
"23103","JINGLE BELL HEART DECORATION",6459.16,3820
"82486","3 DRAWER ANTIQUE WHITE WOOD CABINET",6457.94,734
"23553","LANDMARK FRAME CAMDEN TOWN",6444.65,568
"22804","CANDLEHOLDER PINK HANGING HEART",6438.79,2251
"23134","LARGE ZINC HEART WALL ORGANISER",6431.11,1065
"84030E","ENGLISH ROSE HOT WATER BOTTLE",6414.69,1497
"22635","CHILDS BREAKFAST SET DOLLY GIRL",6412.33,681
"84970L","SINGLE HEART ZINC T-LIGHT HOLDER",6411.52,6064
"23571","TRADITIONAL NAUGHTS & CROSSES",6406.91,2841
"22979","PANTRY WASHING UP BRUSH",6391.82,4090
"20676","RED RETROSPOT BOWL",6374.81,5023
"23307","SET OF 60 PANTRY DESIGN CAKE CASES",6371.89,12049
"22784","LANTERN CREAM GAZEBO",6360.99,1272
"23172","REGENCY TEA PLATE PINK",6344.41,3861
"22303","COFFEE MUG APPLES DESIGN",6338.25,2816
"22895","SET OF 2 TEA TOWELS APPLE AND PEARS",6334.3,2058
"22151","PLACE SETTING WHITE HEART",6322.21,15126
"21154","RED RETROSPOT OVEN GLOVE",6320.51,4034
"21380","WOODEN HAPPY BIRTHDAY GARLAND",6307.51,2165
"21935","SUKI  SHOULDER BAG",6298.61,3393
"22826","LOVE SEAT ANTIQUE WHITE METAL",6210,58
"23169","CLASSIC GLASS COOKIE JAR",6183.39,1437
"23192","BUNDLE OF 3 ALPHABET EXERCISE BOOKS",6114.24,3516
"21975","PACK OF 60 DINOSAUR CAKE CASES",6102.51,12312
"23118","PARISIENNE JEWELLERY DRAWER",6102.18,813
"21156","RETROSPOT CHILDRENS APRON",6091.1,3170
"21670","BLUE SPOT CERAMIC DRAWER KNOB",6083.99,4328
"21671","RED SPOT CERAMIC DRAWER KNOB",6054.79,4402
"47591D","PINK FAIRY CAKE CHILDRENS APRON",6052.45,3207
"47556B","TEA TIME TEA TOWELS",6045,2600
"21673","WHITE SPOT BLUE CERAMIC DRAWER KNOB",6041.2,4372
"23534","WALL ART STOP FOR TEA",6036.2,869
"22366","DOORMAT AIRMAIL",6034.9,800
"17003","BROCADE RING PURSE",6025.95,23020
"48129","DOORMAT TOPIARY",6009.84,904
"21535","RED RETROSPOT SMALL MILK JUG",5986.01,2487
"23296","SET OF 6 TEA TIME BAKING CASES",5985.55,4979
"22174","PHOTO CUBE",5978.78,3218
"23312","VINTAGE CHRISTMAS GIFT SACK",5964.15,1423
"22783","SET 3 WICKER OVAL BASKETS W LIDS",5961.25,463
"23535","WALL ART BICYCLE SAFETY",5954.15,845
